Method,PID Length,Elasped Time,Hash Elapsed,Sign Elapsed,Encr Elapsed,Decr Elapsed,Veri Elapsed
Full,0,0.037702000000000006,1e-06,0.002926,0.011896,0.022592,0.000287
Full,1,0.035672,1e-06,0.001014,0.012296,0.022107,0.000254
